BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
N2                                                              
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
N2(V6)                                                          
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
N2(A3Su+)                                                       
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O2                                                              
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O                                                               
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O(4S0)                                                          
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O3                                                              
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O2(b1)                                                          
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
A30    Error code                                                      
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29         A30    
          49   385.9       16.28      0.1308E+25  0.1531E+26  0.1940E+25  0.1973E+26  0.1035E-12  0.1345E-12  0.4598E-14  0.1163E-16  0.9113E-20  0.2306E-22  0.1947E-12  0.7568E-16  0.1200E-12  0.7469E-13   271.0       14.00       2.000      -1.000    
          50   429.8       17.47      0.1262E+25  0.1582E+26  0.1875E+25  0.2051E+26  0.1069E-12  0.1393E-12  0.5445E-14  0.1083E-16  0.1004E-19  0.1997E-22  0.2332E-12  0.8401E-16  0.1381E-12  0.9502E-13   315.5       14.00       2.000      -1.000    
          51   476.1       18.74      0.1220E+25  0.1636E+26  0.1814E+25  0.2134E+26  0.1103E-12  0.1441E-12  0.6366E-14  0.1012E-16  0.1096E-19  0.1742E-22  0.2766E-12  0.9302E-16  0.1575E-12  0.1192E-12   367.3       15.00       2.000      -1.000    
          52   524.9       20.05      0.1179E+25  0.1686E+26  0.1756E+25  0.2218E+26  0.1137E-12  0.1492E-12  0.7347E-14  0.9500E-17  0.1187E-19  0.1535E-22  0.3248E-12  0.1026E-15  0.1776E-12  0.1473E-12   427.7       16.00       2.000      -1.000    
          53   575.9       21.45      0.1142E+25  0.1741E+26  0.1703E+25  0.2309E+26  0.1170E-12  0.1540E-12  0.8399E-14  0.8935E-17  0.1277E-19  0.1358E-22  0.3788E-12  0.1130E-15  0.1988E-12  0.1801E-12   497.9       16.00       2.000      -1.000    
          54   629.4       22.90      0.1106E+25  0.1795E+26  0.1653E+25  0.2402E+26  0.1203E-12  0.1590E-12  0.9504E-14  0.8425E-17  0.1365E-19  0.1210E-22  0.4382E-12  0.1240E-15  0.2206E-12  0.2176E-12   579.8       16.00       2.000      -1.000    
          55   685.2       24.44      0.1073E+25  0.1852E+26  0.1606E+25  0.2501E+26  0.1236E-12  0.1639E-12  0.1067E-13  0.7963E-17  0.1451E-19  0.1083E-22  0.5039E-12  0.1358E-15  0.2433E-12  0.2607E-12   579.8       8.000       1.000      -1.000    
          56   743.4       26.05      0.1043E+25  0.1912E+26  0.1564E+25  0.2609E+26  0.1269E-12  0.1687E-12  0.1188E-13  0.7545E-17  0.1533E-19  0.9734E-23  0.5763E-12  0.1484E-15  0.2667E-12  0.3097E-12   675.0       17.00       2.000      -1.000    
          57   804.0       27.75      0.1014E+25  0.1975E+26  0.1525E+25  0.2723E+26  0.1302E-12  0.1734E-12  0.1315E-13  0.7164E-17  0.1613E-19  0.8786E-23  0.6556E-12  0.1619E-15  0.2907E-12  0.3651E-12   785.9       18.00       2.000      -1.000    
          58   867.0       29.53      0.9872E+24  0.2039E+26  0.1488E+25  0.2845E+26  0.1334E-12  0.1782E-12  0.1445E-13  0.6817E-17  0.1689E-19  0.7965E-23  0.7420E-12  0.1761E-15  0.3151E-12  0.4271E-12   915.1       18.00       2.000      -1.000    
          59   932.3       31.41      0.9620E+24  0.2107E+26  0.1455E+25  0.2976E+26  0.1366E-12  0.1828E-12  0.1580E-13  0.6500E-17  0.1761E-19  0.7248E-23  0.8361E-12  0.1911E-15  0.3400E-12  0.4965E-12   1065.       18.00       2.000      -1.000    
          60   1000.       33.38      0.9383E+24  0.2177E+26  0.1424E+25  0.3116E+26  0.1396E-12  0.1874E-12  0.1717E-13  0.6209E-17  0.1830E-19  0.6618E-23  0.9383E-12  0.2070E-15  0.3652E-12  0.5735E-12   1065.       9.000       1.000      -1.000    
 
 
Rate coefficients (m3/s)
 C1    N2    Elastic                                             
 C2    N2    Excitation    0.29 eV                               
 C3    N2    Excitation    0.57 eV                               
 C4    N2    Excitation    0.86 eV                               
 C5    N2    Excitation    1.13 eV                               
 C6    N2    Excitation    1.41 eV                               
 C7    N2    Excitation    1.68 eV                               
 C8    N2    Excitation    1.95 eV                               
 C9    N2    Excitation    2.21 eV                               
 C10   N2    Excitation    2.47 eV                               
 C11   N2    Excitation    2.73 eV                               
 C12   N2    Excitation    6.72 eV                               
 C13   N2    Excitation    7.74 eV                               
 C14   N2    Excitation    8.05 eV                               
 C15   N2    Excitation    8.97 eV                               
 C16   N2    Excitation    8.95 eV                               
 C17   N2    Excitation    9.19 eV                               
 C18   N2    Excitation    9.59 eV                               
 C19   N2    Excitation    11.19 eV                              
 C20   N2    Excitation    12.00 eV                              
 C21   N2    Ionization    15.60 eV                              
 C22   N2    Ionization    18.80 eV                              
 C23   N2(V6)    De-excitation    1.68 eV                        
 C24   N2(A3Su+)    De-excitation    6.72 eV                     
 C25   O2    Attachment                                          
 C26   O2    Effective (momentum)                                
 C27   O2    Excitation    0.19 eV                               
 C28   O2    Excitation    0.38 eV                               
 C29   O2    Excitation    0.57 eV                               
 C30   O2    Excitation    0.98 eV                               
 C31   O2    Excitation    1.63 eV                               
 C32   O2    Excitation    4.50 eV                               
 C33   O2    Excitation    5.58 eV                               
 C34   O2    Excitation    8.40 eV                               
 C35   O2    Excitation    9.97 eV                               
 C36   O2    Excitation    14.70 eV                              
